"Clusters","Targets"
"1","AT5G16970"
"1","AT3G19680"
"1","AT4G01070"
"1","AT4G19230"
"1","AT1G05562"
"1","AT5G61820"
"1","AT5G61570"
"1","AT1G69870"
"1","AT5G15860"
"1","AT3G22200"
"1","AT1G05560"
"1","AT4G33950"
"1","AT1G21410"
"1","AT5G64430"
"1","AT4G03400"
"1","AT4G16765"
"1","AT5G27350"
"1","AT3G02875"
"1","AT1G27300"
"1","AT2G25625"
"1","AT3G14810"
"1","AT2G35940"
"1","AT4G16563"
"1","AT3G03470"
"1","AT1G69780"
"1","AT1G78230"
"1","AT5G53970"
"1","AT3G28200"
"1","AT2G17500"
"1","AT5G47560"
"1","AT3G51895"
"1","AT3G50650"
"1","AT1G73880"
"1","AT2G43820"
"1","AT4G37680"
"1","AT5G16120"
"1","AT5G60460"
"1","AT1G50260"
"1","AT5G61810"
"1","AT3G27960"
"1","AT1G76520"
"1","AT2G27510"
"1","AT5G15850"
"1","AT1G23800"
"1","AT1G14520"
"1","AT2G23130"
"1","AT1G70090"
"1","AT2G47770"
"1","AT4G20970"
"1","AT1G07040"
"1","AT1G01140"
"1","AT3G47960"
"1","AT1G48745"
"1","AT4G19420"
"1","AT3G11660"
"1","AT1G56010"
"1","AT4G16790"
"1","AT5G54300"
"1","AT4G23050"
"1","AT5G65380"
"1","AT3G48530"
"1","AT5G13740"
"1","AT4G15765"
"1","AT5G64230"
"1","AT4G02050"
"1","AT4G32250"
"1","AT1G02816"
"1","AT1G67195"
"1","AT3G48990"
"1","AT4G06744"
"1","AT1G62570"
"1","AT1G72790"
"1","AT5G14780"
"1","AT2G35070"
"1","AT2G30930"
"1","AT2G02710"
"1","AT1G53470"
"1","AT1G79520"
"1","AT3G61890"
"1","AT3G57520"
"1","AT2G45570"
"1","AT1G06760"
"1","AT2G43500"
"1","AT2G39980"
"1","AT5G65660"
"1","AT1G22570"
"1","AT5G64850"
"1","AT4G32800"
"1","AT2G34770"
"1","AT5G20110"
"1","AT2G47440"
"1","AT1G69480"
"1","AT5G48180"
"1","AT1G31820"
"1","AT1G21910"
"1","AT5G17860"
"1","AT2G28120"
"1","AT1G50040"
"1","AT2G35060"
"1","AT4G00430"
"1","AT3G28100"
"1","AT4G38810"
"1","AT5G58670"
"1","AT3G16800"
"1","AT1G07720"
"1","AT1G09180"
"1","AT5G08150"
"1","AT4G16670"
"1","AT5G65470"
"1","AT5G22860"
"1","AT1G09500"
"1","AT5G24030"
"1","AT3G48520"
"1","AT4G35060"
"1","AT1G26770"
"1","AT3G26290"
"1","AT5G14180"
"1","AT1G73480"
"1","AT2G28130"
"1","AT5G24140"
"1","AT1G54100"
"1","AT5G24120"
"1","AT5G15350"
"1","AT1G23040"
"1","AT5G37540"
"1","AT3G45970"
"1","AT3G05490"
"1","AT1G66570"
"1","AT1G29300"
"1","AT3G23920"
"1","AT2G34450"
"1","AT2G38640"
"1","AT1G10020"
"1","AT2G45210"
"1","AT5G17850"
"1","AT1G69260"
"1","AT2G36380"
"1","AT4G01140"
"1","AT1G21400"
"1","AT5G60860"
"1","AT1G48260"
"1","AT1G35140"
"1","AT1G76090"
"1","AT4G12080"
"1","AT3G11580"
"1","AT3G14680"
"1","AT2G37770"
"1","AT2G46680"
"1","AT1G29195"
"1","AT5G05440"
"1","AT3G04040"
"1","AT2G23150"
"1","AT1G75220"
"1","AT5G58650"
"1","AT1G70790"
"1","AT2G03980"
"1","AT4G39180"
